city,county,county_pene_rate,dist_sth,dist_sys_voters_pen,dist_voters_indist_est,dist_voters_indist_rate,distcen_hh_indist,in_district,state,sys_census_hh_pene_rate,sys_census_hh_zip_pene,sys_code,sys_media,sys_name,sys_subscribers,sys_type,system_type,zip_census_hh_in_zip,zip_code,zip_l2_voters_in_zip,zone_int
Monroeville,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1580,08343,3273,9762
Newfield,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2203,08344,3821,9762
Newport,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",444,08345,511,9762
Newtonville,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",162,08346,528,9762
Port Norris,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",790,08349,1165,9762
Richland,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",151,08350,542,9762
Shiloh,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",161,08353,316,9762
Vineland,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",15116,08360,24780,9762
Vineland,Cumberland,0.8863094,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",6569,08361,11850,9762
Atlantic City,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",15468,08401,19833,9762
Margate City,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2745,08402,4265,9762
Longport,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",479,08403,719,9762
Ventnor City,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4482,08406,6116,9762
Allentown,Monmouth,0.9396071,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2449,08501,4698,9762
Bordentown,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",7012,08505,11352,9762
Cookstown,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",299,08511,564,9762
Chesterfield,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1525,08515,3444,9762
Florence,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",2275,08518,3353,9762
Hightstown,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",10927,08520,15648,9762
Hopewell,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",1900,08525,3486,9762
Lambertville,Hunterdon,0.5041102,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",3188,08530,5411,9762
Pennington,Mercer,0.8980377,168,0,0,0,0,N,NJ,0.01562503,3070650,9762,Comcast,DISH- I+ Philadelphia,47979,satellite,"Comcast/DISH- I+ Philadelphia, PA (9762)",4812,08534,9136,9762
